Time [s],Value,Parity Error,Framing Error
3.44050175,0x35,,
3.44050841666667,0x00,,
3.44051508333333,0x00,,
3.51040333333333,0x02,,
3.51041,0x02,,
3.51041666666667,0x00,,
3.51042333333333,0x0E,,
3.51043,0x00,,
3.51043666666667,0x0A,,
3.51044333333333,0x00,,
3.51045,0x41,,
3.51045666666667,0x00,,
3.51046333333333,0x07,,
3.51047,0x00,,
3.51047666666667,0x3F,,
3.51048333333333,0x00,,
3.51049,0x05,,
3.51049666666667,0x00,,
3.51050333333333,0x02,,
3.51051,0x35,,
3.51051666666667,0x00,,
3.51052333333333,0x00,,
3.58041258333333,0x02,,
3.58041925,0x02,,
3.58042591666667,0x00,,
3.58043258333333,0x0E,,
3.58043925,0x00,,
3.58044591666667,0x0A,,
3.58045258333333,0x00,,
3.58045925,0x41,,
3.58046591666667,0x00,,
3.58047258333333,0x07,,
3.58047925,0x00,,
3.58048591666667,0x40,,
3.58049258333333,0x00,,
3.58049925,0x05,,
3.58050591666667,0x00,,
3.58051258333333,0x02,,
3.58051925,0x35,,
3.58052591666667,0x00,,
3.58053258333333,0x00,,
3.65597083333333,0x02,,
3.6559775,0x02,,
3.65598416666667,0x00,,
3.65599083333333,0x0C,,
3.6559975,0x00,,
3.65600416666667,0x08,,
3.65601083333333,0x00,,
3.6560175,0x01,,
3.65602416666667,0x00,,
3.65603083333333,0x07,,
3.6560375,0x1B,,
3.65604416666667,0x04,,
3.65605083333333,0x00,,
3.6560575,0x48,,
3.65606416666667,0x00,,
3.65607083333333,0x41,,
3.6560775,0x00,,
3.73999033333333,0x02,,
3.739997,0x02,,
3.74000366666667,0x00,,
3.74001033333333,0x10,,
3.740017,0x00,,
3.74002366666667,0x0C,,
3.74003033333333,0x00,,
3.740037,0x01,,
3.74004366666667,0x00,,
3.74005033333333,0x03,,
3.740057,0x1C,,
3.74006366666667,0x08,,
3.74007033333333,0x00,,
3.740077,0x49,,
3.74008366666667,0x00,,
3.74009033333333,0x42,,
3.740097,0x00,,
3.74010366666667,0x00,,
3.74011033333333,0x00,,
3.740117,0x00,,
3.74012366666667,0x00,,
3.74016075,0x02,,
3.74016741666667,0x02,,
3.740174,0x00,,
3.74018066666667,0x10,,
3.74018733333333,0x00,,
3.740194,0x0C,,
3.74020066666667,0x00,,
3.74020733333333,0x01,,
3.740214,0x00,,
3.74022066666667,0x04,,
3.74022733333333,0x10,,
3.740234,0x08,,
3.74024066666667,0x00,,
3.74024733333333,0x42,,
3.740254,0x00,,
3.74026075,0x00,,
3.74026741666667,0x00,,
3.74027408333333,0x01,,
